timestamp,latitude,longitude,temperature,humidity,precipitation,rain,wind_speed,weather_code,pm25,pm10,no2,o3,traffic_speed,complaints,outage_count,affected_customers,outage_duration_min
2026-09-09 00:00:00,26.889278,75.83149,26.6,74,0.0,0.0,11.3,0,45.518170000443824,90.7449167735536,21.26401697548668,34.46782868659214,57.68204247670718,10,1,38,44.11350296497038
2026-09-09 01:00:00,26.889278,75.83149,26.1,75,0.0,0.0,11.7,0,30.584494218017525,48.05007024504488,25.42462461882037,39.11780755995024,39.89662508483028,7,2,78,12.212300255207346
2026-09-09 02:00:00,26.889278,75.83149,25.7,76,0.0,0.0,11.5,0,62.23962096309717,97.65033821981456,21.975565267338176,30.76146546587779,37.40061459648211,13,0,0,34.91995293745005
2026-09-09 03:00:00,26.889278,75.83149,25.4,77,0.0,0.0,11.8,0,63.93153435855894,119.1714847611161,28.64750547333713,22.15792169238477,42.18662262191671,13,0,0,25.11846761327965
2026-09-09 04:00:00,26.889278,75.83149,24.9,78,0.0,0.0,11.0,0,51.28375840160474,94.72721301852089,22.645145190703108,44.8819622326276,36.93185305822993,11,3,60,9.65664160882595
2026-09-09 05:00:00,26.889278,75.83149,25.1,78,0.0,0.0,13.7,0,59.407856475346485,116.93913122289533,22.610650605358,35.10096887227312,55.55757218568023,10,2,66,49.806833001930656
2026-09-09 06:00:00,26.889278,75.83149,24.8,79,0.0,0.0,13.5,0,75.52473149773174,116.09019733917448,40.30752552065135,42.17429342713884,51.15930262600328,10,0,0,29.71740524600614
2026-09-09 07:00:00,26.889278,75.83149,25.6,76,0.0,0.0,12.7,0,67.72957408078976,102.15441266338424,37.474582932362125,28.70922665333629,49.46343177587353,4,0,0,38.63780638418779
2026-09-09 08:00:00,26.889278,75.83149,26.9,73,0.0,0.0,12.5,0,63.491668249672905,99.31093738655376,29.98590758663132,37.93219217854477,54.86909837842204,17,0,0,37.69768128092089
2026-09-09 09:00:00,26.889278,75.83149,28.2,67,0.0,0.0,13.5,0,63.25299266206534,124.03933217272105,39.27629923983886,29.900582194135385,40.79063999549437,13,1,30,29.9772159143583
2026-09-09 10:00:00,26.889278,75.83149,29.5,62,0.0,0.0,13.1,0,44.63719055497168,76.64083731484226,24.67683446921324,33.222541777095245,35.80109329865016,11,0,0,64.62541030446172
2026-09-09 11:00:00,26.889278,75.83149,31.0,56,0.0,0.0,11.7,0,66.56820078008275,114.13147666328511,33.58228887826982,40.08687600991728,47.42949741471551,8,1,22,34.29103021056486
2026-09-09 12:00:00,26.889278,75.83149,31.6,53,0.0,0.0,10.1,0,35.21844621190156,57.57869403420341,21.767475249439507,32.971653121224534,47.16499712280299,14,0,0,11.630715234849983
2026-09-09 13:00:00,26.889278,75.83149,32.1,52,0.0,0.0,9.1,0,51.014898246776056,81.48706134786462,23.32829064936447,43.999858207388485,39.011344114431495,11,0,0,28.99427959725023
