timestamp,latitude,longitude,outage_count,affected_customers,outage_duration_min
2026-09-09T00:00,26.889278,75.83149,1,38,44.11350296497038
2026-09-09T01:00,26.889278,75.83149,2,78,12.212300255207346
2026-09-09T02:00,26.889278,75.83149,0,0,34.91995293745005
2026-09-09T03:00,26.889278,75.83149,0,0,25.11846761327965
2026-09-09T04:00,26.889278,75.83149,3,60,9.65664160882595
2026-09-09T05:00,26.889278,75.83149,2,66,49.806833001930656
2026-09-09T06:00,26.889278,75.83149,0,0,29.71740524600614
2026-09-09T07:00,26.889278,75.83149,0,0,38.63780638418779
2026-09-09T08:00,26.889278,75.83149,0,0,37.69768128092089
2026-09-09T09:00,26.889278,75.83149,1,30,29.9772159143583
2026-09-09T10:00,26.889278,75.83149,0,0,64.62541030446172
2026-09-09T11:00,26.889278,75.83149,1,22,34.29103021056486
2026-09-09T12:00,26.889278,75.83149,0,0,11.630715234849983
2026-09-09T13:00,26.889278,75.83149,0,0,28.99427959725023
2026-09-09T14:00,26.889278,75.83149,1,69,42.496064301681656
2026-09-09T15:00,26.889278,75.83149,0,0,42.98892664055826
2026-09-09T16:00,26.889278,75.83149,1,24,18.683285971073573
2026-09-09T17:00,26.889278,75.83149,0,0,48.942237610171546
2026-09-09T18:00,26.889278,75.83149,1,29,8.5569960669344
2026-09-09T19:00,26.889278,75.83149,0,0,52.16202803924627
2026-09-09T20:00,26.889278,75.83149,3,63,15.209781662938916
2026-09-09T21:00,26.889278,75.83149,0,0,31.606321714869857
2026-09-09T22:00,26.889278,75.83149,1,59,50.9685301704005
2026-09-09T23:00,26.889278,75.83149,0,0,36.79408503330604
2026-09-10T00:00,26.889278,75.83149,1,84,47.25047776570355
2026-09-10T01:00,26.889278,75.83149,1,82,44.279929395648985
2026-09-10T02:00,26.889278,75.83149,1,92,54.294029201069016
2026-09-10T03:00,26.889278,75.83149,1,36,50.933147763705676
2026-09-10T04:00,26.889278,75.83149,0,0,28.193835371953373
2026-09-10T05:00,26.889278,75.83149,5,470,44.494124506901976
2026-09-10T06:00,26.889278,75.83149,0,0,12.101722074533804
2026-09-10T07:00,26.889278,75.83149,0,0,34.131426389933225
2026-09-10T08:00,26.889278,75.83149,0,0,47.277271019578095
2026-09-10T09:00,26.889278,75.83149,0,0,37.00771481369
2026-09-10T10:00,26.889278,75.83149,1,68,41.699595972756285
2026-09-10T11:00,26.889278,75.83149,1,88,31.80091436051313
2026-09-10T12:00,26.889278,75.83149,0,0,51.93604156302714
2026-09-10T13:00,26.889278,75.83149,1,79,33.79376339436511
2026-09-10T14:00,26.889278,75.83149,1,69,29.018247263939198
2026-09-10T15:00,26.889278,75.83149,2,194,50.297761188535816
2026-09-10T16:00,26.889278,75.83149,0,0,13.922601164533102
2026-09-10T17:00,26.889278,75.83149,3,84,42.515500152760175
2026-09-10T18:00,26.889278,75.83149,0,0,19.36272688659292
2026-09-10T19:00,26.889278,75.83149,0,0,54.168902438572474
2026-09-10T20:00,26.889278,75.83149,0,0,31.084591201298068
2026-09-10T21:00,26.889278,75.83149,2,40,37.02477081229533
2026-09-10T22:00,26.889278,75.83149,0,0,41.18855594966184
2026-09-10T23:00,26.889278,75.83149,0,0,6.05473105528764
2026-09-11T00:00,26.889278,75.83149,0,0,25.241227376647146
2026-09-11T01:00,26.889278,75.83149,3,237,50.65318863929831
2026-09-11T02:00,26.889278,75.83149,0,0,48.01647536256333
