timestamp,latitude,longitude,traffic_speed,complaints
2026-09-09T00:00,26.9124,75.7873,57.68204247670718,10
2026-09-09T01:00,26.945,75.78,39.89662508483028,7
2026-09-09T02:00,26.875,75.79,37.40061459648211,13
2026-09-09T03:00,26.92,75.835,42.18662262191671,13
2026-09-09T04:00,26.9,75.74,36.93185305822993,11
2026-09-09T05:00,26.9124,75.7873,55.55757218568023,10
2026-09-09T06:00,26.945,75.78,51.15930262600328,10
2026-09-09T07:00,26.875,75.79,49.46343177587353,4
2026-09-09T08:00,26.92,75.835,54.86909837842204,17
2026-09-09T09:00,26.9,75.74,40.79063999549437,13
2026-09-09T10:00,26.9124,75.7873,35.80109329865016,11
2026-09-09T11:00,26.945,75.78,47.42949741471551,8
2026-09-09T12:00,26.875,75.79,47.16499712280299,14
2026-09-09T13:00,26.92,75.835,39.011344114431495,11
2026-09-09T14:00,26.9,75.74,48.75093487204944,11
2026-09-09T15:00,26.9124,75.7873,55.30452525364008,14
2026-09-09T16:00,26.945,75.78,41.26680633886911,11
2026-09-09T17:00,26.875,75.79,46.36276606738884,10
2026-09-09T18:00,26.92,75.835,47.40970340381613,13
2026-09-09T19:00,26.9,75.74,48.40073069041246,13
2026-09-09T20:00,26.9124,75.7873,52.16033237970442,12
2026-09-09T21:00,26.945,75.78,49.119369085576,7
2026-09-09T22:00,26.875,75.79,54.797617830591776,12
2026-09-09T23:00,26.92,75.835,39.328175165508696,10
2026-09-10T00:00,26.9,75.74,41.6951865677264,16
2026-09-10T01:00,26.9124,75.7873,50.7380156444859,4
2026-09-10T02:00,26.945,75.78,41.90298670395924,16
2026-09-10T03:00,26.875,75.79,41.08096977145652,17
2026-09-10T04:00,26.92,75.835,44.68156403925724,16
2026-09-10T05:00,26.9,75.74,47.465749118392026,11
2026-09-10T06:00,26.9124,75.7873,41.516260416699005,15
2026-09-10T07:00,26.945,75.78,49.15209120855531,13
2026-09-10T08:00,26.875,75.79,54.7130201947306,11
2026-09-10T09:00,26.92,75.835,32.50853525392417,11
2026-09-10T10:00,26.9,75.74,28.99276350479228,12
2026-09-10T11:00,26.9124,75.7873,50.27066819728417,18
2026-09-10T12:00,26.945,75.78,39.425707546532806,13
2026-09-10T13:00,26.875,75.79,55.194370988326426,19
2026-09-10T14:00,26.92,75.835,64.58593734233956,16
2026-09-10T15:00,26.9,75.74,43.007710427777,11
2026-09-10T16:00,26.9124,75.7873,42.31474749251887,10
2026-09-10T17:00,26.945,75.78,44.951310299948176,14
2026-09-10T18:00,26.875,75.79,46.97094349063876,10
2026-09-10T19:00,26.92,75.835,44.682354529915095,21
2026-09-10T20:00,26.9,75.74,38.67344347033895,30
2026-09-10T21:00,26.9124,75.7873,47.89988750129676,10
2026-09-10T22:00,26.945,75.78,30.866130906046298,14
2026-09-10T23:00,26.875,75.79,47.75337484871263,20
2026-09-11T00:00,26.92,75.835,45.70344922565361,13
2026-09-11T01:00,26.9,75.74,54.15769042385591,12
2026-09-11T02:00,26.9124,75.7873,46.143446493109046,15
2026-09-11T03:00,26.945,75.78,48.39756338106292,14
